Domain,Difficulty,Question,A,B,C,D,Answer
Arithmetic,Beginner,What is 19 + 7?,26,27,133,12,26
Arithmetic,Beginner,What is 12 + 6?,72,19,6,18,18
Arithmetic,Beginner,What is 4 + 19?,-15,76,24,23,23
Arithmetic,Beginner,What is 13 + 7?,21,6,91,20,20
Arithmetic,Beginner,What is 4 + 10?,15,-6,40,14,14
Arithmetic,Beginner,What is 12 + 18?,30,31,216,-6,30
Arithmetic,Beginner,What is 3 + 17?,-14,21,20,51,20
Arithmetic,Beginner,What is 16 + 4?,20,64,21,12,20
Arithmetic,Beginner,What is 5 + 14?,19,-9,70,20,19
Arithmetic,Beginner,What is 20 + 18?,38,360,39,2,38
Arithmetic,Beginner,What is 19 + 9?,29,10,28,171,28
Arithmetic,Beginner,What is 9 + 15?,24,135,-6,25,24
Arithmetic,Beginner,What is 11 + 1?,11,12,13,10,12
Arithmetic,Beginner,What is 16 + 7?,23,9,24,112,23
Arithmetic,Beginner,What is 9 + 20?,30,29,-11,180,29
Arithmetic,Beginner,What is 17 + 7?,119,25,10,24,24
Arithmetic,Beginner,What is 16 + 18?,34,-2,288,35,34
Arithmetic,Beginner,What is 16 + 15?,240,32,1,31,31
Arithmetic,Beginner,What is 8 + 13?,21,104,-5,22,21
Arithmetic,Beginner,What is 16 + 18?,34,-2,35,288,34
Arithmetic,Beginner,What is 12 + 15?,27,-3,28,180,27
Arithmetic,Beginner,What is 8 + 4?,32,12,4,13,12
Arithmetic,Beginner,What is 18 + 6?,108,12,24,25,24
Arithmetic,Beginner,What is 9 + 19?,29,-10,28,171,28
Arithmetic,Beginner,What is 10 + 8?,2,19,18,80,18
Arithmetic,Beginner,What is 1 + 18?,18,19,-17,20,19
Arithmetic,Beginner,What is 2 + 18?,21,20,-16,36,20
Arithmetic,Beginner,What is 16 + 4?,12,21,64,20,20
Arithmetic,Beginner,What is 16 + 16?,256,32,33,0,32
Arithmetic,Beginner,What is 2 + 9?,12,18,11,-7,11
Arithmetic,Beginner,What is 13 + 16?,30,-3,208,29,29
Arithmetic,Beginner,What is 5 + 5?,11,0,10,25,10
Arithmetic,Beginner,What is 4 + 18?,23,22,72,-14,22
Arithmetic,Beginner,What is 17 + 13?,30,221,31,4,30
Arithmetic,Beginner,What is 19 + 14?,34,33,5,266,33
Arithmetic,Beginner,What is 20 + 4?,16,24,80,25,24
Arithmetic,Beginner,What is 9 + 3?,6,27,12,13,12
Arithmetic,Beginner,What is 18 + 3?,54,15,21,22,21
Arithmetic,Beginner,What is 15 + 20?,300,35,36,-5,35
Arithmetic,Beginner,What is 8 + 10?,18,19,-2,80,18
Arithmetic,Beginner,What is 3 + 8?,12,11,-5,24,11
Arithmetic,Beginner,What is 14 + 4?,10,18,56,19,18
Arithmetic,Beginner,What is 9 + 5?,15,45,4,14,14
Arithmetic,Beginner,What is 10 + 20?,-10,30,31,200,30
Arithmetic,Beginner,What is 15 + 10?,25,150,26,5,25
Arithmetic,Beginner,What is 15 + 3?,12,45,19,18,18
Arithmetic,Beginner,What is 20 + 9?,30,180,11,29,29
Arithmetic,Beginner,What is 19 + 19?,0,39,361,38,38
Arithmetic,Beginner,What is 19 + 2?,21,38,17,22,21
Arithmetic,Beginner,What is 9 + 6?,15,16,54,3,15
Arithmetic,Beginner,What is 3 + 16?,19,-13,20,48,19
Arithmetic,Beginner,What is 11 + 4?,15,44,7,16,15
Arithmetic,Beginner,What is 16 + 10?,27,26,160,6,26
Arithmetic,Beginner,What is 15 + 3?,18,12,19,45,18
Arithmetic,Beginner,What is 4 + 13?,-9,18,52,17,17
Arithmetic,Beginner,What is 14 + 2?,16,12,28,17,16
Arithmetic,Beginner,What is 20 + 16?,37,320,36,4,36
Arithmetic,Beginner,What is 9 + 18?,27,162,-9,28,27
Arithmetic,Beginner,What is 16 + 4?,21,12,64,20,20
Arithmetic,Beginner,What is 6 + 10?,-4,17,60,16,16
Arithmetic,Beginner,What is 3 + 8?,24,-5,12,11,11
Arithmetic,Beginner,What is 5 + 16?,21,22,-11,80,21
Arithmetic,Beginner,What is 14 + 16?,224,31,30,-2,30
Arithmetic,Beginner,What is 18 + 5?,24,90,23,13,23
Arithmetic,Beginner,What is 3 + 9?,12,27,13,-6,12
Arithmetic,Beginner,What is 1 + 10?,11,12,-9,10,11
Arithmetic,Beginner,What is 5 + 15?,20,75,21,-10,20
Arithmetic,Beginner,What is 18 + 18?,36,324,37,0,36
Arithmetic,Beginner,What is 7 + 8?,56,16,15,-1,15
Arithmetic,Beginner,What is 2 + 11?,13,14,22,-9,13
Arithmetic,Beginner,What is 13 + 5?,19,65,18,8,18
Arithmetic,Beginner,What is 17 + 19?,-2,37,36,323,36
Arithmetic,Beginner,What is 4 + 17?,22,68,21,-13,21
Arithmetic,Beginner,What is 14 + 5?,9,70,20,19,19
Arithmetic,Beginner,What is 11 + 20?,32,31,220,-9,31
Arithmetic,Beginner,What is 11 + 18?,29,198,30,-7,29
Arithmetic,Beginner,What is 18 + 2?,36,21,16,20,20
Arithmetic,Beginner,What is 8 + 3?,12,24,11,5,11
Arithmetic,Beginner,What is 15 + 6?,22,9,21,90,21
Arithmetic,Beginner,What is 11 + 2?,13,9,14,22,13
Arithmetic,Beginner,What is 14 + 5?,19,9,70,20,19
Arithmetic,Beginner,What is 19 + 6?,13,114,25,26,25
Arithmetic,Beginner,What is 20 + 13?,260,33,7,34,33
Arithmetic,Beginner,What is 8 + 15?,23,-7,24,120,23
Arithmetic,Beginner,What is 1 + 15?,17,16,-14,15,16
Arithmetic,Beginner,What is 3 + 15?,18,19,-12,45,18
Arithmetic,Beginner,What is 14 + 9?,126,23,24,5,23
Arithmetic,Beginner,What is 13 + 16?,208,30,-3,29,29
Arithmetic,Beginner,What is 19 + 12?,31,32,7,228,31
Arithmetic,Beginner,What is 1 + 13?,15,-12,14,13,14
Arithmetic,Beginner,What is 20 + 16?,4,37,36,320,36
Arithmetic,Beginner,What is 8 + 7?,16,15,1,56,15
Arithmetic,Beginner,What is 4 + 2?,2,6,7,8,6
Arithmetic,Beginner,What is 19 + 12?,228,7,31,32,31
Arithmetic,Beginner,What is 11 + 14?,-3,154,25,26,25
Arithmetic,Beginner,What is 18 + 12?,6,31,30,216,30
Arithmetic,Beginner,What is 16 + 10?,6,27,26,160,26
Arithmetic,Beginner,What is 3 + 5?,8,-2,15,9,8
Arithmetic,Beginner,What is 18 + 12?,216,6,31,30,30
Arithmetic,Beginner,What is 9 + 18?,-9,162,28,27,27
Arithmetic,Beginner,What is 9 + 19?,28,29,171,-10,28
Arithmetic,Beginner,What is 4 + 8?,32,13,12,-4,12
Arithmetic,Beginner,What is 20 + 8?,12,29,160,28,28
Arithmetic,Beginner,What is 10 + 14?,25,140,-4,24,24
Arithmetic,Beginner,What is 2 + 10?,13,20,12,-8,12
Arithmetic,Beginner,What is 8 + 18?,26,144,-10,27,26
Arithmetic,Beginner,What is 12 + 18?,31,30,216,-6,30
Arithmetic,Beginner,What is 14 + 4?,18,19,56,10,18
Arithmetic,Beginner,What is 9 + 2?,7,12,11,18,11
Arithmetic,Beginner,What is 15 + 8?,7,24,23,120,23
Arithmetic,Beginner,What is 18 + 12?,6,216,31,30,30
Arithmetic,Beginner,What is 7 + 4?,12,28,11,3,11
Arithmetic,Beginner,What is 20 + 1?,20,19,22,21,21
Arithmetic,Beginner,What is 5 + 19?,-14,95,24,25,24
Arithmetic,Beginner,What is 19 + 7?,133,26,12,27,26
Arithmetic,Beginner,What is 20 + 1?,22,19,21,20,21
Arithmetic,Beginner,What is 18 + 9?,9,162,27,28,27
Arithmetic,Beginner,What is 5 + 1?,4,7,6,5,6
Arithmetic,Beginner,What is 1 + 6?,8,-5,7,6,7
Arithmetic,Beginner,What is 14 + 17?,32,-3,238,31,31
Arithmetic,Beginner,What is 16 + 15?,32,31,1,240,31
Arithmetic,Beginner,What is 15 + 17?,-2,32,255,33,32
Arithmetic,Beginner,What is 17 + 10?,28,27,170,7,27
Arithmetic,Beginner,What is 2 + 16?,32,18,19,-14,18
Arithmetic,Beginner,What is 16 + 15?,240,32,1,31,31
Arithmetic,Beginner,What is 20 + 5?,100,26,15,25,25
Arithmetic,Beginner,What is 20 + 19?,39,1,40,380,39
Arithmetic,Beginner,What is 15 + 17?,33,255,32,-2,32
Arithmetic,Beginner,What is 18 + 7?,126,25,26,11,25
Arithmetic,Beginner,What is 14 + 11?,25,154,26,3,25
Arithmetic,Beginner,What is 4 + 11?,15,44,16,-7,15
Arithmetic,Beginner,What is 12 + 5?,18,60,17,7,17
Arithmetic,Beginner,What is 3 + 3?,9,7,6,0,6
Arithmetic,Beginner,What is 5 + 18?,-13,24,90,23,23
Arithmetic,Beginner,What is 4 + 14?,18,19,-10,56,18
Arithmetic,Beginner,What is 2 + 10?,-8,12,13,20,12
Arithmetic,Beginner,What is 19 + 17?,323,2,36,37,36
Arithmetic,Beginner,What is 8 + 4?,12,13,4,32,12
Arithmetic,Beginner,What is 4 + 9?,36,13,-5,14,13
Arithmetic,Beginner,What is 20 + 9?,180,30,11,29,29
Arithmetic,Beginner,What is 10 + 11?,22,-1,21,110,21
Arithmetic,Beginner,What is 5 + 19?,25,95,24,-14,24
Arithmetic,Beginner,What is 1 + 3?,4,3,-2,5,4
Arithmetic,Beginner,What is 15 + 11?,26,165,4,27,26
Arithmetic,Beginner,What is 11 + 19?,31,209,-8,30,30
Arithmetic,Beginner,What is 6 + 20?,27,-14,120,26,26
Arithmetic,Beginner,What is 9 + 15?,24,135,25,-6,24
Arithmetic,Beginner,What is 14 + 9?,5,23,126,24,23
Arithmetic,Beginner,What is 12 + 14?,-2,168,27,26,26
Arithmetic,Beginner,What is 17 + 10?,170,28,7,27,27
Arithmetic,Beginner,What is 20 + 2?,40,23,18,22,22
Arithmetic,Beginner,What is 7 + 5?,12,2,13,35,12
Arithmetic,Beginner,What is 4 + 1?,5,6,4,3,5
Arithmetic,Beginner,What is 6 + 5?,12,11,30,1,11
Arithmetic,Beginner,What is 17 + 18?,-1,36,35,306,35
Arithmetic,Beginner,What is 2 + 14?,28,-12,17,16,16
Arithmetic,Beginner,What is 11 + 19?,30,31,209,-8,30
Arithmetic,Beginner,What is 14 + 10?,140,4,25,24,24
Arithmetic,Beginner,What is 11 + 6?,17,18,66,5,17
Arithmetic,Beginner,What is 3 + 14?,42,18,-11,17,17
Arithmetic,Beginner,What is 19 + 13?,6,247,33,32,32
Arithmetic,Beginner,What is 11 + 8?,20,3,19,88,19
Arithmetic,Beginner,What is 17 + 4?,21,68,13,22,21
Arithmetic,Beginner,What is 5 + 8?,40,14,-3,13,13
Arithmetic,Beginner,What is 7 + 6?,1,13,42,14,13
Arithmetic,Beginner,What is 6 + 16?,22,23,96,-10,22
Arithmetic,Beginner,What is 19 + 20?,39,40,-1,380,39
Arithmetic,Beginner,What is 5 + 15?,-10,75,21,20,20
Arithmetic,Beginner,What is 10 + 9?,90,1,20,19,19
Arithmetic,Beginner,What is 10 + 15?,26,150,25,-5,25
Arithmetic,Beginner,What is 12 + 10?,23,2,120,22,22
Arithmetic,Beginner,What is 20 + 20?,400,40,41,0,40
Arithmetic,Beginner,What is 15 + 19?,34,285,-4,35,34
Arithmetic,Beginner,What is 17 + 5?,85,12,23,22,22
Arithmetic,Beginner,What is 11 + 3?,8,33,14,15,14
Arithmetic,Beginner,What is 15 + 15?,30,225,0,31,30
Arithmetic,Beginner,What is 10 + 13?,130,23,24,-3,23
Strings,Beginner,What is 'c' * 2?,ccc,c2,cc,CC,cc
Strings,Beginner,What is 'c' * 4?,CCCC,cccc,ccccc,c4,cccc
Strings,Beginner,What is 'e' * 3?,eee,eeee,e3,EEE,eee
Strings,Beginner,What is 'b' * 2?,bb,b2,bbb,BB,bb
Strings,Beginner,What is 'c' * 3?,cccc,c3,CCC,ccc,ccc
Strings,Beginner,What is 'e' * 4?,eeeee,EEEE,e4,eeee,eeee
Strings,Beginner,What is 'b' * 3?,bbbb,bbb,b3,BBB,bbb
Strings,Beginner,What is 'b' * 3?,BBB,bbbb,bbb,b3,bbb
Strings,Beginner,What is 'a' * 2?,a2,aa,aaa,AA,aa
Strings,Beginner,What is 'e' * 5?,eeeeee,EEEEE,eeeee,e5,eeeee
Strings,Beginner,What is 'e' * 3?,EEE,e3,eee,eeee,eee
Strings,Beginner,What is 'c' * 3?,ccc,c3,CCC,cccc,ccc
Strings,Beginner,What is 'd' * 3?,ddd,DDD,dddd,d3,ddd
Strings,Beginner,What is 'b' * 4?,bbbb,BBBB,b4,bbbbb,bbbb
Strings,Beginner,What is 'd' * 5?,dddddd,DDDDD,ddddd,d5,ddddd
Strings,Beginner,What is 'c' * 2?,CC,cc,c2,ccc,cc
Strings,Beginner,What is 'e' * 2?,e2,eee,ee,EE,ee
Strings,Beginner,What is 'c' * 5?,CCCCC,ccccc,cccccc,c5,ccccc
Strings,Beginner,What is 'b' * 5?,bbbbbb,b5,bbbbb,BBBBB,bbbbb
Strings,Beginner,What is 'a' * 5?,aaaaaa,a5,aaaaa,AAAAA,aaaaa
Strings,Beginner,What is 'a' * 4?,AAAA,aaaaa,aaaa,a4,aaaa
Strings,Beginner,What is 'a' * 4?,aaaaa,AAAA,aaaa,a4,aaaa
Strings,Beginner,What is 'c' * 5?,ccccc,cccccc,CCCCC,c5,ccccc
Strings,Beginner,What is 'd' * 2?,DD,d2,ddd,dd,dd
Strings,Beginner,What is 'b' * 3?,BBB,b3,bbb,bbbb,bbb
Strings,Beginner,What is 'b' * 4?,b4,BBBB,bbbbb,bbbb,bbbb
Strings,Beginner,What is 'd' * 5?,DDDDD,d5,dddddd,ddddd,ddddd
Strings,Beginner,What is 'e' * 2?,eee,ee,EE,e2,ee
Strings,Beginner,What is 'c' * 5?,cccccc,c5,CCCCC,ccccc,ccccc
Strings,Beginner,What is 'b' * 5?,bbbbbb,bbbbb,BBBBB,b5,bbbbb
Strings,Beginner,What is 'e' * 4?,e4,eeeee,EEEE,eeee,eeee
Strings,Beginner,What is 'd' * 5?,dddddd,d5,DDDDD,ddddd,ddddd
Strings,Beginner,What is 'c' * 4?,CCCC,ccccc,c4,cccc,cccc
Strings,Beginner,What is 'c' * 3?,cccc,c3,CCC,ccc,ccc
Strings,Beginner,What is 'b' * 2?,bb,b2,bbb,BB,bb
Strings,Beginner,What is 'b' * 5?,b5,bbbbb,BBBBB,bbbbbb,bbbbb
Strings,Beginner,What is 'b' * 2?,BB,b2,bb,bbb,bb
Strings,Beginner,What is 'b' * 2?,BB,bbb,bb,b2,bb
Strings,Beginner,What is 'c' * 5?,CCCCC,ccccc,c5,cccccc,ccccc
Strings,Beginner,What is 'b' * 4?,bbbbb,b4,bbbb,BBBB,bbbb
Strings,Beginner,What is 'c' * 2?,cc,ccc,c2,CC,cc
Strings,Beginner,What is 'd' * 5?,dddddd,d5,ddddd,DDDDD,ddddd
Strings,Beginner,What is 'd' * 4?,ddddd,d4,dddd,DDDD,dddd
Strings,Beginner,What is 'a' * 5?,aaaaa,aaaaaa,AAAAA,a5,aaaaa
Strings,Beginner,What is 'c' * 2?,ccc,CC,c2,cc,cc
Strings,Beginner,What is 'c' * 5?,CCCCC,c5,ccccc,cccccc,ccccc
Strings,Beginner,What is 'c' * 5?,cccccc,c5,CCCCC,ccccc,ccccc
Strings,Beginner,What is 'e' * 5?,e5,eeeee,eeeeee,EEEEE,eeeee
Strings,Beginner,What is 'a' * 5?,a5,aaaaa,aaaaaa,AAAAA,aaaaa
Strings,Beginner,What is 'a' * 3?,a3,AAA,aaa,aaaa,aaa
Strings,Beginner,What is 'a' * 3?,aaa,aaaa,a3,AAA,aaa
Strings,Beginner,What is 'e' * 2?,ee,eee,EE,e2,ee
Strings,Beginner,What is 'c' * 4?,c4,CCCC,cccc,ccccc,cccc
Strings,Beginner,What is 'e' * 4?,eeee,EEEE,e4,eeeee,eeee
Strings,Beginner,What is 'b' * 2?,b2,bbb,BB,bb,bb
Strings,Beginner,What is 'd' * 5?,dddddd,DDDDD,d5,ddddd,ddddd
Strings,Beginner,What is 'd' * 3?,ddd,d3,dddd,DDD,ddd
Strings,Beginner,What is 'b' * 2?,BB,bbb,bb,b2,bb
Strings,Beginner,What is 'b' * 5?,bbbbbb,b5,BBBBB,bbbbb,bbbbb
Strings,Beginner,What is 'c' * 2?,ccc,cc,c2,CC,cc
Strings,Beginner,What is 'b' * 4?,bbbbb,BBBB,bbbb,b4,bbbb
Strings,Beginner,What is 'b' * 3?,BBB,b3,bbb,bbbb,bbb
Strings,Beginner,What is 'e' * 4?,e4,eeee,EEEE,eeeee,eeee
Strings,Beginner,What is 'e' * 2?,eee,EE,e2,ee,ee
Strings,Beginner,What is 'd' * 5?,d5,ddddd,DDDDD,dddddd,ddddd
Strings,Beginner,What is 'b' * 4?,bbbbb,BBBB,b4,bbbb,bbbb
Strings,Beginner,What is 'e' * 4?,eeeee,eeee,EEEE,e4,eeee
Strings,Beginner,What is 'b' * 5?,b5,BBBBB,bbbbbb,bbbbb,bbbbb
Strings,Beginner,What is 'c' * 3?,CCC,ccc,cccc,c3,ccc
Strings,Beginner,What is 'c' * 4?,CCCC,ccccc,c4,cccc,cccc
Strings,Beginner,What is 'e' * 4?,eeee,eeeee,EEEE,e4,eeee
Strings,Beginner,What is 'e' * 2?,eee,ee,EE,e2,ee
Strings,Beginner,What is 'b' * 4?,b4,BBBB,bbbbb,bbbb,bbbb
Strings,Beginner,What is 'a' * 4?,aaaa,aaaaa,AAAA,a4,aaaa
Strings,Beginner,What is 'e' * 2?,ee,e2,EE,eee,ee
Strings,Beginner,What is 'c' * 5?,ccccc,cccccc,CCCCC,c5,ccccc
Strings,Beginner,What is 'c' * 5?,c5,cccccc,CCCCC,ccccc,ccccc
Strings,Beginner,What is 'b' * 5?,bbbbb,BBBBB,b5,bbbbbb,bbbbb
Strings,Beginner,What is 'b' * 4?,bbbb,BBBB,bbbbb,b4,bbbb
Strings,Beginner,What is 'c' * 5?,CCCCC,ccccc,cccccc,c5,ccccc
Strings,Beginner,What is 'c' * 3?,CCC,c3,ccc,cccc,ccc
Strings,Beginner,What is 'd' * 3?,dddd,DDD,ddd,d3,ddd
Strings,Beginner,What is 'c' * 5?,c5,CCCCC,ccccc,cccccc,ccccc
Strings,Beginner,What is 'c' * 4?,CCCC,ccccc,cccc,c4,cccc
Strings,Beginner,What is 'e' * 5?,eeeee,EEEEE,e5,eeeeee,eeeee
Strings,Beginner,What is 'a' * 2?,aa,a2,AA,aaa,aa
Strings,Beginner,What is 'b' * 3?,b3,bbbb,bbb,BBB,bbb
Strings,Beginner,What is 'c' * 5?,CCCCC,ccccc,c5,cccccc,ccccc
Strings,Beginner,What is 'a' * 5?,aaaaa,AAAAA,aaaaaa,a5,aaaaa
Strings,Beginner,What is 'd' * 4?,DDDD,ddddd,d4,dddd,dddd
Strings,Beginner,What is 'e' * 3?,eee,e3,eeee,EEE,eee
Strings,Beginner,What is 'a' * 5?,aaaaa,a5,AAAAA,aaaaaa,aaaaa
Strings,Beginner,What is 'e' * 2?,EE,eee,ee,e2,ee
Strings,Beginner,What is 'c' * 4?,c4,ccccc,cccc,CCCC,cccc
Strings,Beginner,What is 'e' * 5?,e5,EEEEE,eeeeee,eeeee,eeeee
Strings,Beginner,What is 'b' * 4?,bbbb,b4,BBBB,bbbbb,bbbb
Strings,Beginner,What is 'b' * 3?,bbb,b3,bbbb,BBB,bbb
Strings,Beginner,What is 'b' * 5?,bbbbb,b5,bbbbbb,BBBBB,bbbbb
Strings,Beginner,What is 'e' * 5?,eeeeee,eeeee,e5,EEEEE,eeeee
Strings,Beginner,What is 'c' * 4?,ccccc,CCCC,c4,cccc,cccc
Strings,Beginner,What is 'a' * 5?,a5,aaaaa,aaaaaa,AAAAA,aaaaa
